layer_index,total_layers,layer,in_channels,out_channels,kernel_size,ratio,masked_filters,baseline_mAP50,trial_mAP50,mAP50_drop,baseline_mAP50_95,trial_mAP50_95,mAP50_95_drop
1,86,model.0.conv,3,16,3x3,0.1,2,0.7760911174721754,0.731597077077342,0.0444940403948334,0.6232067576989172,0.5716278319035528,0.05157892579536438
2,86,model.1.conv,16,32,3x3,0.1,3,0.7760911174721754,0.7050064220091166,0.07108469546305884,0.6232067576989172,0.5593368097636029,0.06386994793531431
3,86,model.2.cv1.conv,32,32,1x1,0.1,3,0.7760911174721754,0.7256143013255241,0.05047681614665134,0.6232067576989172,0.5779026859943003,0.04530407170461692
4,86,model.2.cv2.conv,48,64,1x1,0.1,6,0.7760911174721754,0.5361562601680514,0.239934857304124,0.6232067576989172,0.4239100473990365,0.19929671029988072
5,86,model.2.m.0.cv2.conv,8,16,3x3,0.1,2,0.7760911174721754,0.7824414528310651,-0.006350335358889736,0.6232067576989172,0.6247258799242208,-0.001519122225303593
6,86,model.3.conv,64,64,3x3,0.1,6,0.7760911174721754,0.6147175605096404,0.16137355696253497,0.6232067576989172,0.4477949005859773,0.17541185711293988
7,86,model.4.cv1.conv,64,64,1x1,0.1,6,0.7760911174721754,0.18005651443458523,0.5960346030375901,0.6232067576989172,0.13154519180765578,0.4916615658912614
8,86,model.4.cv2.conv,96,128,1x1,0.1,13,0.7760911174721754,0.0091625,0.7669286174721754,0.6232067576989172,0.00675375,0.6164530076989172
9,86,model.4.m.0.cv1.conv,32,16,3x3,0.1,2,0.7760911174721754,0.7494210121316062,0.02667010534056924,0.6232067576989172,0.5842411623994243,0.03896559529949295
10,86,model.4.m.0.cv2.conv,16,32,3x3,0.1,3,0.7760911174721754,0.7712646470194101,0.004826470452765297,0.6232067576989172,0.6237052720023061,-0.000498514303388875
11,86,model.5.conv,128,128,3x3,0.1,13,0.7760911174721754,0.7865408601563827,-0.010449742684207286,0.6232067576989172,0.6318556336012391,-0.008648875902321884
12,86,model.6.cv1.conv,128,128,1x1,0.1,13,0.7760911174721754,0.7034718373452143,0.07261928012696106,0.6232067576989172,0.551980987161582,0.07122577053733525
13,86,model.6.cv2.conv,192,128,1x1,0.1,13,0.7760911174721754,0.7142926776389755,0.06179843983319988,0.6232067576989172,0.5508070564562274,0.0723997012426898
14,86,model.6.m.0.cv1.conv,64,32,1x1,0.1,3,0.7760911174721754,0.7719959024599766,0.004095215012198783,0.6232067576989172,0.613109877766747,0.010096879932170233
15,86,model.6.m.0.cv2.conv,64,32,1x1,0.1,3,0.7760911174721754,0.7707831191044233,0.005307998367752087,0.6232067576989172,0.6223442468731156,0.0008625108258015768
16,86,model.6.m.0.cv3.conv,64,64,1x1,0.1,6,0.7760911174721754,0.7459996689650318,0.030091448507143626,0.6232067576989172,0.5958714135755845,0.027335344123332717
17,86,model.6.m.0.m.0.cv1.conv,32,32,3x3,0.1,3,0.7760911174721754,0.754143414190976,0.021947703281199438,0.6232067576989172,0.6140345943408448,0.00917216335807236
