epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0896,1.13836,1.27557,1.14648,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0.0001,0.0001,0.0001
2,16.5673,1.1204,1.24344,1.14049,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,9.7e-05,9.7e-05,9.7e-05
3,18.0473,1.13401,1.23951,1.14723,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,9.4e-05,9.4e-05,9.4e-05
4,19.5616,1.11811,1.23924,1.14081,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,9.1e-05,9.1e-05,9.1e-05
5,21.1991,1.27949,1.62538,1.22071,0.68645,0.4192,0.50131,0.36652,1.2887,1.92369,1.38406,8.8e-05,8.8e-05,8.8e-05
6,22.7222,1.29439,1.54026,1.23965,0.6148,0.57823,0.59054,0.43173,1.19517,1.55948,1.33477,8.5e-05,8.5e-05,8.5e-05
7,24.3143,1.12811,1.2798,1.13073,0.53546,0.56978,0.59967,0.47291,1.06881,1.66486,1.21156,8.2e-05,8.2e-05,8.2e-05
8,26.0068,0.98165,1.03945,1.05925,0.47343,0.61881,0.60311,0.50095,0.94557,1.49691,1.14034,7.9e-05,7.9e-05,7.9e-05
9,27.6719,0.92879,0.91719,1.0378,0.77195,0.47363,0.60818,0.50022,0.92823,1.55063,1.13412,7.6e-05,7.6e-05,7.6e-05
10,29.2228,0.88536,0.87926,1.00072,0.80359,0.46963,0.62793,0.52016,0.91511,1.53929,1.14574,7.3e-05,7.3e-05,7.3e-05
11,30.7121,0.77994,0.77149,0.96991,0.68532,0.55429,0.62154,0.51138,0.90807,1.54815,1.13451,7e-05,7e-05,7e-05
12,32.3554,0.74972,0.73205,0.95336,0.73087,0.48582,0.65199,0.51638,0.9447,1.54588,1.16352,6.7e-05,6.7e-05,6.7e-05
13,33.8778,0.70739,0.69098,0.92994,0.73282,0.50298,0.62763,0.48367,0.95893,1.54486,1.17209,6.4e-05,6.4e-05,6.4e-05
14,35.4152,0.67958,0.65435,0.92027,0.64203,0.56289,0.61423,0.48474,0.98235,1.57471,1.18868,6.1e-05,6.1e-05,6.1e-05
15,36.8615,0.64678,0.63223,0.90051,0.82243,0.446,0.61434,0.48074,1.01601,1.59734,1.22266,5.8e-05,5.8e-05,5.8e-05
16,38.4695,0.60269,0.5845,0.89294,0.5405,0.58332,0.6136,0.46917,1.03682,1.66404,1.23967,5.5e-05,5.5e-05,5.5e-05
17,40.0329,0.57415,0.56063,0.88389,0.54208,0.60688,0.61402,0.46359,1.04506,1.68294,1.25104,5.2e-05,5.2e-05,5.2e-05
18,41.63,0.55561,0.54856,0.87827,0.58646,0.62201,0.61918,0.4648,1.04571,1.73187,1.2424,4.9e-05,4.9e-05,4.9e-05
19,43.213,0.5403,0.53802,0.8694,0.56389,0.61826,0.64448,0.49107,1.0508,1.72245,1.24492,4.6e-05,4.6e-05,4.6e-05
20,44.8196,0.51105,0.50395,0.86887,0.59293,0.60589,0.65149,0.4925,1.03018,1.64107,1.23151,4.3e-05,4.3e-05,4.3e-05
21,46.4613,0.48329,0.48234,0.85962,0.57431,0.58027,0.65033,0.48838,1.02759,1.58438,1.22777,4e-05,4e-05,4e-05
22,48.0559,0.49088,0.49489,0.85495,0.59477,0.58164,0.65135,0.4875,1.03091,1.59821,1.22944,3.7e-05,3.7e-05,3.7e-05
23,49.603,0.47261,0.48158,0.85144,0.62072,0.5617,0.64517,0.48051,1.03291,1.60644,1.23527,3.4e-05,3.4e-05,3.4e-05
24,51.1762,0.45753,0.47278,0.84574,0.58943,0.57434,0.65336,0.48606,1.04681,1.65394,1.24911,3.1e-05,3.1e-05,3.1e-05
25,52.6355,0.4362,0.44846,0.84302,0.62528,0.56901,0.64935,0.49374,1.04999,1.66212,1.25402,2.8e-05,2.8e-05,2.8e-05
26,54.1562,0.41211,0.42438,0.83885,0.70768,0.54151,0.65194,0.49942,1.05393,1.68335,1.26017,2.5e-05,2.5e-05,2.5e-05
27,55.4998,0.41867,0.43165,0.84389,0.70367,0.54207,0.65411,0.50041,1.04926,1.684,1.25389,2.2e-05,2.2e-05,2.2e-05
28,57.0664,0.39901,0.42413,0.83575,0.71866,0.54106,0.65428,0.50617,1.04723,1.66852,1.25412,1.9e-05,1.9e-05,1.9e-05
29,58.6652,0.39567,0.42653,0.83271,0.69897,0.52928,0.64948,0.49546,1.06032,1.68583,1.26313,1.6e-05,1.6e-05,1.6e-05
30,60.1715,0.3778,0.40874,0.82758,0.70931,0.52688,0.64851,0.49831,1.0657,1.68483,1.27014,1.3e-05,1.3e-05,1.3e-05
