epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dino_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dino_loss,lr/pg0,lr/pg1,lr/pg2
1,2.52099,1.13836,1.27557,1.14648,0.99572,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,0.0001,0.0001,0.0001
2,5.40566,1.1204,1.24344,1.14049,0.99551,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,9.7e-05,9.7e-05,9.7e-05
3,8.22273,1.13401,1.23951,1.14723,0.99556,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,9.4e-05,9.4e-05,9.4e-05
4,11.2037,1.11811,1.23924,1.14081,0.9959,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,9.1e-05,9.1e-05,9.1e-05
5,14.2157,1.27997,1.62988,1.22046,0.9928,0.69377,0.42398,0.50689,0.36806,1.28852,1.92482,1.38311,0,8.8e-05,8.8e-05,8.8e-05
6,17.2476,1.29499,1.54074,1.23828,0.99078,0.62579,0.56269,0.59254,0.4254,1.1909,1.57806,1.33481,0,8.5e-05,8.5e-05,8.5e-05
7,20.1276,1.12499,1.28133,1.12517,0.98919,0.62045,0.5977,0.60111,0.4744,1.04633,1.65887,1.19221,0,8.2e-05,8.2e-05,8.2e-05
8,22.8768,0.97768,1.03784,1.05604,0.98679,0.73231,0.48814,0.5921,0.48259,0.97317,1.73383,1.15021,0,7.9e-05,7.9e-05,7.9e-05
9,25.795,0.94191,0.92262,1.04459,0.98435,0.70663,0.48552,0.58595,0.47417,0.9517,1.8203,1.12902,0,7.6e-05,7.6e-05,7.6e-05
10,28.7234,0.88365,0.88554,1.00002,0.98179,0.76929,0.4482,0.61536,0.50717,0.93988,1.75163,1.12687,0,7.3e-05,7.3e-05,7.3e-05
11,31.7806,0.79712,0.79528,0.97692,0.97919,0.8957,0.39779,0.62249,0.50268,0.95545,1.75543,1.1492,0,7e-05,7e-05,7e-05
12,34.7548,0.75613,0.75763,0.95733,0.97642,0.7722,0.49532,0.64557,0.51694,0.97742,1.63765,1.16223,0,6.7e-05,6.7e-05,6.7e-05
13,37.7816,0.72002,0.70496,0.93623,0.97271,0.72869,0.48362,0.63559,0.49985,0.96485,1.63493,1.1658,0,6.4e-05,6.4e-05,6.4e-05
14,40.7617,0.68424,0.66227,0.92801,0.96896,0.70909,0.49877,0.6164,0.4863,0.96403,1.65584,1.16536,0,6.1e-05,6.1e-05,6.1e-05
15,43.8039,0.6614,0.6426,0.9102,0.96603,0.7599,0.47709,0.62309,0.48633,0.95886,1.73367,1.17408,0,5.8e-05,5.8e-05,5.8e-05
16,46.8414,0.61114,0.5959,0.90031,0.9633,0.86733,0.45251,0.65527,0.51108,0.95543,1.64951,1.17645,0,5.5e-05,5.5e-05,5.5e-05
17,49.8808,0.57503,0.57181,0.88559,0.96009,0.8638,0.44699,0.66336,0.52279,0.94522,1.63422,1.17866,0,5.2e-05,5.2e-05,5.2e-05
18,52.7517,0.55392,0.55772,0.88071,0.9573,0.58156,0.57043,0.66271,0.50358,0.95229,1.67996,1.17313,0,4.9e-05,4.9e-05,4.9e-05
19,55.5444,0.54349,0.54217,0.87211,0.95395,0.5558,0.58648,0.66168,0.50624,0.96186,1.7084,1.17149,0,4.6e-05,4.6e-05,4.6e-05
20,58.4785,0.51584,0.51578,0.87116,0.95088,0.6295,0.55092,0.63932,0.50043,0.9731,1.73356,1.17482,0,4.3e-05,4.3e-05,4.3e-05
21,61.5601,0.48636,0.49199,0.8628,0.9485,0.66951,0.55688,0.62435,0.49113,0.98988,1.74125,1.18477,0,4e-05,4e-05,4e-05
22,64.5344,0.4945,0.50621,0.8591,0.94601,0.66101,0.54648,0.62285,0.49059,0.98356,1.75125,1.17836,0,3.7e-05,3.7e-05,3.7e-05
23,67.5162,0.47196,0.49763,0.85543,0.94367,0.65329,0.54015,0.61544,0.48956,0.97959,1.76009,1.17331,0,3.4e-05,3.4e-05,3.4e-05
24,70.4991,0.45824,0.49083,0.84861,0.94144,0.57875,0.59101,0.60887,0.48243,0.97458,1.74824,1.17163,0,3.1e-05,3.1e-05,3.1e-05
25,73.4331,0.44157,0.46786,0.84651,0.93859,0.83017,0.47277,0.60224,0.48638,0.9756,1.75001,1.17421,0,2.8e-05,2.8e-05,2.8e-05
26,76.4554,0.41804,0.44091,0.84279,0.93688,0.80776,0.47211,0.61486,0.49428,0.98659,1.75331,1.18561,0,2.5e-05,2.5e-05,2.5e-05
27,79.3247,0.42137,0.44257,0.84672,0.93489,0.81349,0.46299,0.61706,0.49811,0.98933,1.76773,1.18781,0,2.2e-05,2.2e-05,2.2e-05
28,82.2548,0.39888,0.4425,0.83892,0.93309,0.63366,0.52435,0.62485,0.50384,0.98643,1.75428,1.18789,0,1.9e-05,1.9e-05,1.9e-05
29,85.3565,0.3932,0.44347,0.83536,0.93134,0.64741,0.52281,0.63033,0.51073,0.9798,1.72141,1.18406,0,1.6e-05,1.6e-05,1.6e-05
30,88.1022,0.37697,0.43296,0.82983,0.92981,0.65443,0.52205,0.62792,0.50668,0.97782,1.71833,1.18426,0,1.3e-05,1.3e-05,1.3e-05
