epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dino_loss,train/dino_p3,train/dino_p4,train/dino_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dino_loss,val/dino_p3,val/dino_p4,val/dino_p5,lr/pg0,lr/pg1,lr/pg2
1,2.73953,1.13836,1.27557,1.14648,0.9811,1.01249,0.95682,0.99827,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,0,0,0,0.0001,0.0001,0.0001
2,5.93946,1.1204,1.24344,1.14049,0.98102,1.01242,0.95679,0.99808,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,0,0,0,9.7e-05,9.7e-05,9.7e-05
3,8.82236,1.13401,1.23951,1.14723,0.98107,1.01242,0.95683,0.99821,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,0,0,0,9.4e-05,9.4e-05,9.4e-05
4,11.7398,1.11811,1.23924,1.14081,0.98116,1.01244,0.95694,0.99834,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0,0,0,0,9.1e-05,9.1e-05,9.1e-05
5,14.7548,1.27956,1.62256,1.22048,0.98081,1.01053,0.95873,0.99525,0.69122,0.4245,0.50317,0.36718,1.28907,1.91419,1.38391,0,0,0,0,8.8e-05,8.8e-05,8.8e-05
6,17.8909,1.29659,1.53734,1.23956,0.97914,1.00963,0.9563,0.99434,0.62667,0.56205,0.59087,0.42339,1.18882,1.60388,1.32901,0,0,0,0,8.5e-05,8.5e-05,8.5e-05
7,21.2027,1.12006,1.24617,1.12437,0.97476,1.00884,0.94841,0.99338,0.56578,0.59915,0.60567,0.47687,1.05215,1.69551,1.19217,0,0,0,0,8.2e-05,8.2e-05,8.2e-05
8,24.3706,0.98322,1.01996,1.06161,0.97083,1.0065,0.94539,0.98605,0.55182,0.62753,0.61933,0.50499,0.95956,1.4795,1.1615,0,0,0,0,7.9e-05,7.9e-05,7.9e-05
9,27.6378,0.92124,0.91545,1.02795,0.96681,1.00478,0.94119,0.98007,0.57597,0.61992,0.61817,0.50366,0.91658,1.48961,1.13417,0,0,0,0,7.6e-05,7.6e-05,7.6e-05
10,30.8568,0.87258,0.86007,0.99477,0.96269,1.00299,0.93671,0.97437,0.55266,0.61664,0.62715,0.5141,0.90664,1.44061,1.13461,0,0,0,0,7.3e-05,7.3e-05,7.3e-05
11,34.0364,0.77983,0.76211,0.96923,0.95816,1.00114,0.93234,0.96682,0.5084,0.65999,0.66474,0.53991,0.93775,1.50751,1.15103,0,0,0,0,7e-05,7e-05,7e-05
12,37.0291,0.75124,0.73263,0.94722,0.95344,0.9995,0.92776,0.95876,0.85247,0.45076,0.66664,0.53007,0.98837,1.51362,1.18639,0,0,0,0,6.7e-05,6.7e-05,6.7e-05
13,39.9435,0.71734,0.70502,0.92859,0.94969,0.99823,0.92426,0.95201,0.55522,0.56858,0.661,0.51559,0.99314,1.60449,1.17556,0,0,0,0,6.4e-05,6.4e-05,6.4e-05
14,43.0396,0.67406,0.65154,0.91716,0.94554,0.99689,0.92028,0.94472,0.56158,0.57551,0.66156,0.51035,1.01329,1.63183,1.19634,0,0,0,0,6.1e-05,6.1e-05,6.1e-05
15,46.2081,0.65414,0.64131,0.90144,0.9417,0.99597,0.91637,0.9381,0.63766,0.52564,0.66134,0.51167,1.01735,1.66519,1.21184,0,0,0,0,5.8e-05,5.8e-05,5.8e-05
16,49.4303,0.60922,0.59624,0.89367,0.93794,0.995,0.91259,0.93159,0.67222,0.53926,0.66697,0.50952,1.01219,1.65399,1.22553,0,0,0,0,5.5e-05,5.5e-05,5.5e-05
17,52.6793,0.57887,0.56752,0.88078,0.93361,0.99395,0.90769,0.9251,0.80211,0.48496,0.68203,0.51258,1.02589,1.65467,1.24638,0,0,0,0,5.2e-05,5.2e-05,5.2e-05
18,55.9293,0.56096,0.56788,0.87732,0.92999,0.99273,0.90385,0.91956,0.65361,0.53574,0.63614,0.46802,1.04272,1.69736,1.27458,0,0,0,0,4.9e-05,4.9e-05,4.9e-05
19,59.1414,0.55059,0.55295,0.86975,0.92634,0.99129,0.90077,0.91253,0.6593,0.51983,0.63224,0.48685,1.03772,1.74981,1.26383,0,0,0,0,4.6e-05,4.6e-05,4.6e-05
20,62.2885,0.52655,0.51198,0.8702,0.92288,0.98975,0.89806,0.90564,0.66141,0.51289,0.64154,0.48576,1.03611,1.85087,1.25447,0,0,0,0,4.3e-05,4.3e-05,4.3e-05
21,65.5008,0.49478,0.48397,0.86239,0.9195,0.98854,0.89465,0.90015,0.42603,0.67306,0.62942,0.48427,1.00676,1.77294,1.23271,0,0,0,0,4e-05,4e-05,4e-05
22,68.7028,0.50217,0.49989,0.85715,0.91621,0.9874,0.89107,0.89529,0.48051,0.67671,0.65305,0.50702,1.02007,1.7323,1.24297,0,0,0,0,3.7e-05,3.7e-05,3.7e-05
23,72.0031,0.48326,0.48778,0.85413,0.91349,0.98652,0.88806,0.89132,0.7355,0.50114,0.66369,0.51444,1.02663,1.70663,1.23719,0,0,0,0,3.4e-05,3.4e-05,3.4e-05
24,75.0948,0.46609,0.48263,0.847,0.91088,0.98562,0.88519,0.88753,0.69818,0.54509,0.6569,0.50938,1.04066,1.72846,1.23992,0,0,0,0,3.1e-05,3.1e-05,3.1e-05
25,78.3817,0.44329,0.45786,0.84379,0.9076,0.98469,0.88161,0.8825,0.60992,0.55572,0.63129,0.4893,1.04873,1.7176,1.24251,0,0,0,0,2.8e-05,2.8e-05,2.8e-05
26,81.5166,0.41655,0.43549,0.83886,0.90572,0.98394,0.87965,0.87964,0.59152,0.55505,0.62447,0.48711,1.05994,1.72411,1.26232,0,0,0,0,2.5e-05,2.5e-05,2.5e-05
27,84.5185,0.42376,0.44044,0.84391,0.90349,0.9832,0.87724,0.87628,0.66433,0.51706,0.62783,0.4858,1.06276,1.72045,1.26454,0,0,0,0,2.2e-05,2.2e-05,2.2e-05
28,87.637,0.40554,0.43801,0.83776,0.90174,0.98257,0.87533,0.87371,0.66754,0.51885,0.63587,0.51074,1.06117,1.70582,1.26049,0,0,0,0,1.9e-05,1.9e-05,1.9e-05
29,90.8286,0.40254,0.43725,0.83498,0.89996,0.98203,0.8735,0.87079,0.77837,0.46271,0.62869,0.50601,1.05727,1.7016,1.25746,0,0,0,0,1.6e-05,1.6e-05,1.6e-05
30,93.9286,0.38309,0.41994,0.82893,0.89862,0.98142,0.87219,0.86866,0.5761,0.56859,0.62872,0.50435,1.06425,1.71034,1.26066,0,0,0,0,1.3e-05,1.3e-05,1.3e-05
