epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.89476,1.24626,1.43565,1.21784,0.66768,0.6294,0.72801,0.53862,0.9384,1.09573,1.18248,0.0001,0.0001,0.0001
2,6.02685,1.25338,1.45067,1.20331,0.73349,0.66756,0.74032,0.57199,0.91168,1.0406,1.15492,9.1e-05,9.1e-05,9.1e-05
3,9.14127,1.27756,1.41673,1.23846,0.71258,0.66061,0.7405,0.57646,0.92412,1.01956,1.16085,8.2e-05,8.2e-05,8.2e-05
4,12.2838,1.27702,1.53986,1.23509,0.74304,0.64812,0.7212,0.56036,0.93234,1.06415,1.17475,7.3e-05,7.3e-05,7.3e-05
5,15.3962,1.21181,1.4481,1.16636,0.60773,0.69539,0.72779,0.57326,0.92947,1.00694,1.15837,6.4e-05,6.4e-05,6.4e-05
6,18.6307,1.15454,1.30778,1.18381,0.59295,0.71656,0.72927,0.56104,0.93442,1.02497,1.16852,5.5e-05,5.5e-05,5.5e-05
7,21.92,1.06962,1.1897,1.11357,0.59535,0.70308,0.73355,0.56323,0.92235,1.06597,1.16071,4.6e-05,4.6e-05,4.6e-05
8,25.2038,1.02498,1.08479,1.08573,0.65521,0.63529,0.73461,0.57074,0.93501,1.0501,1.15666,3.7e-05,3.7e-05,3.7e-05
9,28.4912,1.00259,1.03798,1.08917,0.54553,0.71326,0.7332,0.5595,0.93335,1.04543,1.15894,2.8e-05,2.8e-05,2.8e-05
10,31.7256,0.97516,1.01117,1.05714,0.54881,0.70949,0.71838,0.5613,0.92715,1.03779,1.15272,1.9e-05,1.9e-05,1.9e-05
