epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2456,1.23088,1.42696,1.20376,0.75586,0.61641,0.73028,0.5612,0.92235,1.05992,1.1679,0.0001,0.0001,0.0001
2,36.5957,1.25594,1.43774,1.20754,0.69547,0.64047,0.7421,0.57304,0.90934,1.03191,1.15464,9.1e-05,9.1e-05,9.1e-05
3,39.7296,1.26127,1.41104,1.22897,0.69637,0.64346,0.73142,0.57594,0.92301,1.00973,1.15954,8.2e-05,8.2e-05,8.2e-05
4,42.8468,1.27456,1.51281,1.23392,0.57481,0.66187,0.71463,0.57076,0.93501,1.05212,1.172,7.3e-05,7.3e-05,7.3e-05
5,46.0112,1.2171,1.44163,1.17193,0.62849,0.67035,0.76352,0.58438,0.9494,0.99645,1.17094,6.4e-05,6.4e-05,6.4e-05
6,49.2773,1.12375,1.25441,1.16632,0.61682,0.67288,0.75707,0.58141,0.94945,1.02247,1.16369,5.5e-05,5.5e-05,5.5e-05
7,52.5596,1.05118,1.1584,1.10725,0.56304,0.70012,0.74973,0.58605,0.94487,1.05271,1.16322,4.6e-05,4.6e-05,4.6e-05
8,55.8305,1.01946,1.06147,1.08396,0.77731,0.53787,0.73459,0.57631,0.93276,1.04336,1.15688,3.7e-05,3.7e-05,3.7e-05
9,59.0972,0.97107,1.01605,1.07032,0.79877,0.53453,0.72931,0.57359,0.93062,1.03547,1.1568,2.8e-05,2.8e-05,2.8e-05
10,62.376,0.95838,0.99821,1.05101,0.79889,0.53639,0.72943,0.57415,0.92729,1.04277,1.15667,1.9e-05,1.9e-05,1.9e-05
