epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.756,1.26784,1.55789,1.21053,0.70493,0.61909,0.70209,0.52468,0.97793,1.20664,1.18988,0.0001,0.0001,0.0001
2,13.8988,1.28727,1.56856,1.21462,0.67695,0.6881,0.71849,0.53879,0.95613,1.19235,1.16617,9.1e-05,9.1e-05,9.1e-05
3,16.9579,1.29284,1.49421,1.23483,0.67915,0.63239,0.72353,0.5434,0.95939,1.18652,1.17124,8.2e-05,8.2e-05,8.2e-05
4,20.0557,1.27925,1.61,1.23429,0.72115,0.65001,0.73091,0.56654,0.93358,1.1299,1.14993,7.3e-05,7.3e-05,7.3e-05
5,23.2765,1.1898,1.46159,1.14773,0.65564,0.64251,0.7361,0.56586,0.92379,1.11811,1.15793,6.4e-05,6.4e-05,6.4e-05
6,26.4504,1.15709,1.33256,1.17269,0.64798,0.64311,0.73531,0.57181,0.92031,1.10849,1.15292,5.5e-05,5.5e-05,5.5e-05
7,29.6985,1.08031,1.24639,1.11576,0.54899,0.72384,0.71544,0.5639,0.90943,1.12029,1.1525,4.6e-05,4.6e-05,4.6e-05
8,32.9049,1.03216,1.14839,1.08727,0.56311,0.70755,0.70708,0.56468,0.92147,1.10591,1.15647,3.7e-05,3.7e-05,3.7e-05
9,36.1325,0.99819,1.10572,1.07602,0.56727,0.70899,0.72348,0.55962,0.91665,1.10681,1.15087,2.8e-05,2.8e-05,2.8e-05
10,39.3652,0.99752,1.0859,1.06698,0.57607,0.70904,0.70674,0.55701,0.92106,1.12497,1.15153,1.9e-05,1.9e-05,1.9e-05
