epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07167,1.13836,1.27557,1.14648,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,0.0001,0.0001,0.0001
2,8.33176,1.1204,1.24344,1.14049,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,9.1e-05,9.1e-05,9.1e-05
3,10.5169,1.13401,1.23951,1.14723,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,8.2e-05,8.2e-05,8.2e-05
4,12.7221,1.11811,1.23924,1.14081,0.70667,0.62177,0.71562,0.59358,0.9167,1.03281,1.10164,7.3e-05,7.3e-05,7.3e-05
5,14.9704,1.16785,1.311,1.1549,0.60727,0.65796,0.66064,0.4953,1.03636,1.24701,1.18467,6.4e-05,6.4e-05,6.4e-05
6,17.2808,1.05229,1.07051,1.10645,0.75551,0.57085,0.6436,0.49519,1.0095,1.17286,1.1802,5.5e-05,5.5e-05,5.5e-05
7,19.6533,0.98263,1.00503,1.06378,0.65777,0.56148,0.64015,0.50762,0.94797,1.444,1.14107,4.6e-05,4.6e-05,4.6e-05
8,22.0145,0.90602,0.88413,1.0205,0.73589,0.53911,0.61333,0.49221,0.95335,1.66649,1.15067,3.7e-05,3.7e-05,3.7e-05
9,24.3636,0.86032,0.7945,0.99468,0.6841,0.5499,0.63008,0.50766,0.93127,1.63123,1.13078,2.8e-05,2.8e-05,2.8e-05
10,26.7239,0.84241,0.79126,0.97667,0.64155,0.58213,0.63426,0.50983,0.90377,1.59201,1.11307,1.9e-05,1.9e-05,1.9e-05
