epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.45453,1.23903,1.64013,1.18964,0.69671,0.60354,0.69499,0.50624,1.01681,1.33073,1.23358,0.0001,0.0001,0.0001
2,11.7484,1.23079,1.59683,1.18674,0.69671,0.60354,0.69499,0.50624,1.01681,1.33073,1.23358,9.1e-05,9.1e-05,9.1e-05
3,13.9626,1.24879,1.58373,1.19992,0.69671,0.60354,0.69499,0.50624,1.01681,1.33073,1.23358,8.2e-05,8.2e-05,8.2e-05
4,16.1783,1.22348,1.59104,1.18769,0.69671,0.60354,0.69499,0.50624,1.01681,1.33073,1.23358,7.3e-05,7.3e-05,7.3e-05
5,18.4345,1.29413,1.7831,1.20708,0.58906,0.49565,0.57779,0.43762,1.20703,2.22784,1.32652,6.4e-05,6.4e-05,6.4e-05
6,20.7488,1.27385,1.55236,1.21487,0.58335,0.58041,0.59719,0.44767,1.11896,1.59422,1.271,5.5e-05,5.5e-05,5.5e-05
7,23.1187,1.14942,1.40622,1.13464,0.58298,0.64748,0.65874,0.50102,1.0325,1.47258,1.24147,4.6e-05,4.6e-05,4.6e-05
8,25.4857,1.09447,1.24687,1.10729,0.63892,0.66761,0.70445,0.52376,0.98034,1.24424,1.1764,3.7e-05,3.7e-05,3.7e-05
9,27.9042,1.0182,1.0835,1.0742,0.62416,0.65719,0.6815,0.52318,0.96585,1.21887,1.15959,2.8e-05,2.8e-05,2.8e-05
10,30.2299,0.98832,1.04869,1.05353,0.58722,0.67852,0.66587,0.51985,0.95388,1.21288,1.15511,1.9e-05,1.9e-05,1.9e-05
