epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1515,1.09219,1.0478,1.11466,0.64309,0.70128,0.78799,0.62738,0.86258,0.86093,1.08444,0.0001,0.0001,0.0001
2,32.6209,1.09195,1.04282,1.11771,0.64309,0.70128,0.78799,0.62738,0.86258,0.86093,1.08444,9.1e-05,9.1e-05,9.1e-05
3,34.8495,1.09974,1.03358,1.12804,0.64309,0.70128,0.78799,0.62738,0.86258,0.86093,1.08444,8.2e-05,8.2e-05,8.2e-05
4,37.093,1.08299,1.03844,1.11561,0.64309,0.70128,0.78799,0.62738,0.86258,0.86093,1.08444,7.3e-05,7.3e-05,7.3e-05
5,39.4114,1.11691,1.13496,1.12064,0.65902,0.60635,0.70908,0.5493,0.95363,1.08009,1.16161,6.4e-05,6.4e-05,6.4e-05
6,41.7862,1.01933,1.01996,1.09901,0.71718,0.56552,0.71402,0.55504,0.9367,1.10127,1.13991,5.5e-05,5.5e-05,5.5e-05
7,44.2094,0.9536,0.90417,1.04422,0.57036,0.68904,0.68129,0.53447,0.95587,1.12403,1.16031,4.6e-05,4.6e-05,4.6e-05
8,46.6148,0.90847,0.81921,1.01944,0.66963,0.61027,0.66938,0.52992,0.91182,1.16149,1.12736,3.7e-05,3.7e-05,3.7e-05
9,49.0647,0.86552,0.75236,1.00585,0.64439,0.61153,0.67371,0.53202,0.92488,1.20922,1.13649,2.8e-05,2.8e-05,2.8e-05
10,51.4366,0.83629,0.73111,0.98788,0.5694,0.63553,0.66249,0.51941,0.93082,1.25444,1.13721,1.9e-05,1.9e-05,1.9e-05
