step,layer,status,reason,before_channels,after_channels,indices,parameters,gmacs,map50,map50_95,step_map_drop,step_compute_saved,total_compute_saved,score,elapsed_seconds
1,model.22.m.0.cv2.conv,ok,,128,112,"[90, 117, 106, 22, 86, 40, 46, 92, 79, 100, 94, 53, 14, 59, 101, 2]",9450528,10.7957696,0.6099190065948003,0.44501571346971674,-9.764914391197088e-06,0.00030461912830336625,0.0003046191283033739,-0.03205614317651233,16.127261632998852
1,model.8.m.0.m.0.cv1.conv,ok,,128,112,"[1, 83, 98, 57, 70, 23, 95, 31, 17, 84, 25, 64, 89, 18, 53, 37]",9421856,10.7843008,0.6089874435707756,0.4440721737223969,0.0009337748329286688,0.0013666375678355238,0.0013666375678355047,0.6832644257010865,15.782536369999434
1,model.8.m.0.cv2.conv,ok,,128,112,"[48, 39, 56, 108, 107, 120, 29, 103, 8, 101, 115, 79, 117, 27, 55, 124]",9450528,10.7957696,0.6096108452867892,0.44474825940940166,0.0002576891459238895,0.00030461912830336625,0.0003046191283033739,0.8459388199261741,16.21442381000088
1,model.6.m.0.cv2.conv,ok,,64,56,"[23, 12, 34, 54, 10, 62, 18, 60]",9456688,10.7957568,0.609347437368095,0.44459948320539483,0.00040646534993071803,0.0003058044167403782,0.00030580441674032954,1.3291676891501503,15.76429436699982
1,model.8.m.0.cv3.conv,rejected,ValueError: protect_CSP_chunk_width: model.8.cv1.conv,,,,,,,,,,,,0.07809211700077867
1,model.22.m.0.cv1.conv,ok,,128,112,"[121, 44, 110, 46, 114, 16, 127, 8, 31, 1, 100, 93, 116, 68, 19, 87]",9376736,10.7662528,0.606351521447455,0.43491338965138765,0.010092558903937898,0.003037894263974414,0.0030378942639743833,3.322221916550187,15.522514227999636
1,model.8.m.0.m.1.cv2.conv,ok,,128,112,"[107, 45, 93, 37, 29, 103, 112, 79, 49, 95, 16, 111, 3, 126, 67, 62]",9376736,10.7662528,0.605165432065433,0.44027853181449217,0.004727416740833379,0.003037894263974414,0.0030378942639743833,1.556149204037338,15.80879006500254
1,model.8.m.0.m.0.cv2.conv,ok,,128,112,"[37, 119, 111, 49, 93, 43, 116, 29, 107, 40, 13, 63, 28, 68, 3, 92]",9376736,10.7662528,0.606101987408106,0.4409393717548572,0.004066576800468347,0.003037894263974414,0.0030378942639743833,1.3386169652751931,16.004574643000524
1,model.6.m.0.m.0.cv2.conv,ok,,64,56,"[26, 38, 10, 20, 28, 57, 5, 1]",9438224,10.7662144,0.5970492628535885,0.4334406832280967,0.011565265327228846,0.0030414501292852854,0.0030414501292852503,3.8025497166204016,15.938651979999122
1,model.6.m.0.m.1.cv1.conv,ok,,64,56,"[22, 6, 12, 17, 32, 60, 13, 38]",9449520,10.784288,0.6078498794380449,0.44352240960088024,0.001483538954445307,0.0013678228562725358,0.0013678228562725714,1.0845987458406054,16.348732073001884
1,model.6.m.0.cv1.conv,ok,,64,56,"[23, 36, 50, 31, 49, 6, 38, 42]",9438224,10.7662144,0.6014453820365299,0.437734317179596,0.007271631375729559,0.0030414501292852854,0.0030414501292852503,2.390843534047468,15.474829704002332
1,model.6.m.0.m.0.cv1.conv,ok,,64,56,"[57, 61, 4, 2, 20, 22, 27, 38]",9449520,10.784288,0.6082086879728327,0.4430139667553171,0.0019919818000084244,0.0013678228562725358,0.0013678228562725714,1.4563156265985997,15.842621728999802
