epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.398,0.98421,0.91259,1.07236,0.68156,0.53885,0.59388,0.42889,1.04348,1.05995,1.09978,0.0001,0.0001,0.0001
2,643.791,0.95162,0.85949,1.05264,0.67561,0.54982,0.59537,0.42859,1.04559,1.05118,1.10089,9.1e-05,9.1e-05,9.1e-05
3,960.144,0.9257,0.81628,1.03711,0.6895,0.54248,0.59576,0.42753,1.04954,1.05115,1.103,8.2e-05,8.2e-05,8.2e-05
4,1274.45,0.90264,0.77841,1.02386,0.68627,0.54327,0.59361,0.42617,1.05409,1.05234,1.10721,7.3e-05,7.3e-05,7.3e-05
5,1588.93,0.88117,0.74368,1.01233,0.67315,0.55207,0.59203,0.42329,1.06328,1.05734,1.11726,6.4e-05,6.4e-05,6.4e-05
6,1903.32,0.86086,0.71162,1.00131,0.68577,0.54503,0.5896,0.42112,1.06714,1.06066,1.11932,5.5e-05,5.5e-05,5.5e-05
7,2217.75,0.84241,0.68291,0.99171,0.69092,0.53968,0.5873,0.41733,1.07416,1.06955,1.12694,4.6e-05,4.6e-05,4.6e-05
8,2532.28,0.82529,0.65666,0.98346,0.68153,0.54291,0.5844,0.4137,1.08131,1.08019,1.1326,3.7e-05,3.7e-05,3.7e-05
9,2846.26,0.8092,0.63376,0.97556,0.68692,0.54025,0.5804,0.41037,1.08609,1.08976,1.13813,2.8e-05,2.8e-05,2.8e-05
10,3160.38,0.79477,0.61439,0.96911,0.68323,0.54089,0.57776,0.40755,1.09211,1.10105,1.1442,1.9e-05,1.9e-05,1.9e-05
